building_class,fov,kappa,precision,recall,computation_time(seconds),test_accuracy,average_accuracy,f_score
Residential,F30,0.40  (0.03),0.97  (0.00),0.84  (0.03),2027  (786),83.60  (2.05),80.00  (0.14),0.90  (0.01)
Residential,F60,0.45  (0.02),0.97  (0.00),0.87  (0.02),2120  (446),85.80  (1.43),82.23  (0.11),0.92  (0.01)
Residential,F90,0.47  (0.03),0.97  (0.00),0.87  (0.02),2239  (381),86.59  (1.73),83.01  (0.29),0.92  (0.01)
Residential,FALL,0.41  (0.02),0.97  (0.00),0.85  (0.02),4972  (834),84.11  (1.30),81.12  (0.13),0.91  (0.01)
Meeting,F30,0.15  (0.02),0.99  (0.00),0.82  (0.04),2657  (342),81.34  (3.58),75.07  (0.59),0.89  (0.02)
Meeting,F60,0.15  (0.02),0.99  (0.00),0.81  (0.03),2670  (366),80.38  (3.18),74.69  (0.99),0.89  (0.02)
Meeting,F90,0.14  (0.01),0.99  (0.00),0.81  (0.02),2605  (396),80.12  (1.62),74.13  (0.42),0.89  (0.01)
Meeting,FALL,0.15  (0.01),0.99  (0.00),0.82  (0.01),4932  (235),81.24  (0.98),74.55  (0.18),0.89  (0.01)
Industry,F30,0.17  (0.03),0.16  (0.02),0.67  (0.07),2857  (583),76.50  (5.63),72.16  (0.51),0.25  (0.03)
Industry,F60,0.21  (0.03),0.18  (0.02),0.64  (0.05),2877  (690),80.77  (3.30),72.83  (0.53),0.28  (0.02)
Industry,F90,0.17  (0.01),0.15  (0.01),0.68  (0.02),2732  (444),76.75  (1.51),72.54  (0.47),0.25  (0.01)
Industry,FALL,0.17  (0.03),0.16  (0.02),0.68  (0.06),5092  (343),76.38  (5.65),72.35  (0.42),0.25  (0.02)
Office,F30,0.08  (0.01),0.98  (0.00),0.66  (0.05),1907  (724),66.26  (4.62),69.23  (0.19),0.79  (0.04)
Office,F60,0.09  (0.01),0.98  (0.00),0.69  (0.06),2122  (323),69.06  (5.13),70.72  (0.41),0.81  (0.04)
Office,F90,0.11  (0.00),0.98  (0.00),0.78  (0.03),2158  (355),77.33  (2.31),68.03  (1.21),0.87  (0.02)
Office,FALL,0.11  (0.01),0.98  (0.00),0.76  (0.05),4370  (675),75.03  (4.73),69.18  (1.04),0.85  (0.03)
Shop,F30,0.31  (0.03),0.24  (0.02),0.77  (0.02),2430  (232),85.68  (1.76),81.48  (0.32),0.37  (0.02)
Shop,F60,0.33  (0.04),0.26  (0.03),0.76  (0.03),2334  (226),86.54  (2.54),81.39  (0.21),0.38  (0.03)
Shop,F90,0.27  (0.04),0.22  (0.03),0.78  (0.04),2324  (234),83.19  (3.01),80.59  (0.29),0.34  (0.03)
Shop,FALL,0.30  (0.02),0.23  (0.01),0.77  (0.01),5180  (246),85.01  (1.07),81.31  (0.19),0.36  (0.01)
